method,model,score_col,threshold,confirm_frames,num_videos,num_detected,num_missed,num_early,num_late,mae_s,mean_error_s,median_abs_error_s,max_abs_error_s,within_1.0s,within_2.0s
cv_binary_ml,RandomForest,score_binary_RandomForest,0.3,3,3,3,0,1,2,2.099999999999999,0.4333333333333324,2.5,3.3999999999999986,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.3,5,3,3,0,1,2,2.099999999999999,0.4333333333333324,2.5,3.3999999999999986,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.3,7,3,3,0,1,2,2.099999999999999,0.4333333333333324,2.5,3.3999999999999986,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.3,10,3,3,0,1,2,2.099999999999999,0.4333333333333324,2.5,3.3999999999999986,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.4,1,3,3,0,1,2,2.2999999999999994,0.7000000000000005,2.3999999999999986,4.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.3,2,3,3,0,1,2,2.3333333333333335,-1.599999999999999,0.7000000000000028,5.899999999999999,0.6666666666666666,0.6666666666666666
cv_binary_ml,RandomForest,score_binary_RandomForest,0.3,1,3,3,0,1,2,2.6000000000000014,-1.8666666666666671,0.7000000000000028,6.700000000000003,0.6666666666666666,0.6666666666666666
cv_binary_ml,RandomForest,score_binary_RandomForest,0.4,2,3,3,0,1,2,3.7999999999999994,2.2000000000000006,2.3999999999999986,8.5,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.4,3,3,3,0,1,2,4.2,2.6000000000000014,2.3999999999999986,9.700000000000003,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.4,5,3,3,0,1,2,4.5,2.900000000000001,2.3999999999999986,10.600000000000001,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.4,7,3,3,0,1,2,4.5,2.900000000000001,2.3999999999999986,10.600000000000001,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.4,10,3,3,0,1,2,4.5,2.900000000000001,2.3999999999999986,10.600000000000001,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.5,1,3,3,0,1,2,4.533333333333332,2.9333333333333336,2.3999999999999986,10.600000000000001,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.5,2,3,3,0,1,2,4.533333333333332,2.9333333333333336,2.3999999999999986,10.600000000000001,0.3333333333333333,0.3333333333333333
cv_binary_ml,RandomForest,score_binary_RandomForest,0.5,3,3,3,0,1,2,4.533333333333332,2.9333333333333336,2.3999999999999986,10.600000000000001,0.3333333333333333,0.3333333333333333
